73198,0,55.31,0.214249,35.53,32.0,-37.0,7.0,UNASSIGNED
73199,0,19.12,0.214249,35.53,30.0,-39.0,6.0,UNASSIGNED
73200,0,-6.29,0.214249,35.53,30.0,-39.0,6.0,UNASSIGNED
73201,0,-20.91,0.214249,35.53,25.0,-40.0,8.0,UNASSIGNED
73202,0,-27.06,0.214249,35.53,25.0,-40.0,8.0,UNASSIGNED
73203,0,-28.11,0.214249,35.53,27.0,-45.0,13.0,UNASSIGNED
73204,0,-27.34,0.214249,35.53,27.0,-45.0,13.0,UNASSIGNED
73205,0,-26.73,0.214249,35.53,23.0,-50.0,13.0,UNASSIGNED
73206,0,-26.88,0.214249,35.53,23.0,-50.0,13.0,UNASSIGNED
73207,0,-27.69,0.214249,35.53,21.0,-50.0,14.0,UNASSIGNED
73208,0,-29.18,0.214249,35.53,21.0,-50.0,14.0,UNASSIGNED
73209,0,-31.8,0.216812,35.53,19.0,-52.0,15.0,UNASSIGNED
73210,0,-36.17,0.216812,35.53,19.0,-52.0,15.0,UNASSIGNED
73211,0,-42.47,0.216812,35.53,20.0,-56.0,18.0,UNASSIGNED
73212,0,-50.21,0.216812,35.53,20.0,-56.0,18.0,UNASSIGNED
73213,0,-58.63,0.216812,35.53,14.0,-62.0,23.0,UNASSIGNED
73214,0,-67.16,0.216812,35.53,14.0,-62.0,23.0,UNASSIGNED
73215,0,-75.85,0.216812,35.53,10.0,-66.0,22.0,UNASSIGNED
73216,1,-236.25,0.775472,34.07,10.0,-52.0,14.0,UNASSIGNED
73217,1,-178.13,0.775472,34.07,17.0,-53.0,13.0,UNASSIGNED
73218,1,-131.89,0.775472,34.07,17.0,-53.0,13.0,UNASSIGNED
73219,1,-95.55,0.775472,34.07,15.0,-52.0,17.0,UNASSIGNED
73220,1,-65.01,0.775472,34.07,15.0,-52.0,17.0,UNASSIGNED
73221,1,-35.93,0.775472,34.07,15.0,-55.0,19.0,UNASSIGNED
73222,1,-5.21,0.775472,34.07,15.0,-55.0,19.0,UNASSIGNED
73223,1,27.98,0.775472,34.07,20.0,-56.0,14.0,UNASSIGNED
73224,1,61.87,0.775472,34.07,20.0,-56.0,14.0,UNASSIGNED
73225,1,92.72,0.775472,34.07,19.0,-58.0,17.0,UNASSIGNED
73226,1,116.5,0.775472,34.07,19.0,-58.0,17.0,UNASSIGNED
73227,1,131.08,0.790848,34.07,29.0,-62.0,24.0,UNASSIGNED
73228,1,138.03,0.790848,34.07,29.0,-62.0,24.0,UNASSIGNED
73229,1,142.5,0.790848,34.07,30.0,-61.0,21.0,UNASSIGNED
